Date,Item,Brand,Initial Quantity,Uniquekey,Remaining Quantity,,,Purchase Rate,Total Purchase Rate,,
24-Oct-25,12 M surface box,Anchor,22,12 M surface box Anchor,19,⚠️ Low Stock,,88,1936,,
24-Oct-25,2 M surface box,Anchor,19,2 M surface box Anchor,19,⚠️ Low Stock,,31,589,,644127.25
24-Oct-25,3 M surface box,Anchor,10,3 M surface box Anchor,10,⚠️ Low Stock,,36,360,,
24-Oct-25,3 pin miltiplug,Anchor,2,3 pin miltiplug Anchor,2,⚠️ Low Stock,,25,50,,
24-Oct-25,3 pin super plug,Anchor,11,3 pin super plug Anchor,11,⚠️ Low Stock,,30,330,,
24-Oct-25,3 Pin top 16 Amp,Anchor,16,3 Pin top 16 Amp Anchor,16,⚠️ Low Stock,,64.8,1036.8,,
24-Oct-25,3 Pin top 6 Amp,Anchor,11,3 Pin top 6 Amp Anchor,10,⚠️ Low Stock,,50,550,,
24-Oct-25,4 M surface box,Anchor,9,4 M surface box Anchor,9,⚠️ Low Stock,,43,387,,
24-Oct-25,6 M surface box,Anchor,24,6 M surface box Anchor,24,✅ In Stock,,53,1272,,
24-Oct-25,8 M Surface box,Anchor,18,8 M Surface box Anchor,18,⚠️ Low Stock,,70,1260,,
24-Oct-25,Button holder circle,Anchor,23,fancy  angal holder anchor,23,✅ In Stock,,29,667,,
24-Oct-25,Button holder wall,Anchor,45,Button holder wall Anchor,45,✅ In Stock,,25,1125,,
24-Oct-25,Ceiling Fan 1200 mm,Anchor,3,Ceiling Fan 1200 mm Anchor,1,⚠️ Low Stock,,1250,3750,,
24-Oct-25,Exension socket 4 in one,Anchor,2,Exension socket 4 in one Anchor,2,⚠️ Low Stock,,351,702,,
24-Oct-25,Indicator,Anchor,20,Indicator Anchor,20,✅ In Stock,,27.54,550.8,,
24-Oct-25,MCB 10 Amp,Anchor,23,MCB 10 Amp Anchor,19,⚠️ Low Stock,,90,2070,,
