Date,Bill number,Uniquekey,Quantity,Selling Price per unit,Total,Discount,Price after discount,Profit per unit,Profit %,
26-Oct-25,1,6mm cable Prakash,10,10,100,,,,,
26-Oct-25,1,MCB 32 Amp Anchor,2,100,200,,,,,
26-Oct-25,1,MCB box 2 way Local,1,20,20,,,,,
26-Oct-25,1,Socket 6 Amp Anchor Penta modular,2,60,120,,,,,
26-Oct-25,1,Tester Tapariya,1,50,50,,,,,
26-Oct-25,1,Patti Oplite,2,47.5,95,,,,,
26-Oct-25,1,8 M MCB box metal Oplite,1,600,600,,,,,
26-Oct-25,1,Cancealed light Anchor,2,85,170,,,,,
26-Oct-25,1,Wire 1mm Repro Gold,2,1100,2200,,,,,
26-Oct-25,1,Tape Anchor,3,10,30,,,,,
,,,,,,,,,,
27-Oct-25,1,Tubelight 20 watt Panasonic,1,120,120,,,,,
,,,,,,,,,,
28-Oct-25,1,Water pump 1hp Lubi,1,4420,4420,,,,,
28-Oct-25,2,Wire 2.5mm RR,1,2990,2990,,,,,
28-Oct-25,2,Wire 1.5mm RR,1,1750,1750,,,,,
28-Oct-25,2,Wire 1mm RR,1,1350,1350,,,,,
28-Oct-25,2,Wire 0.75mm RR,0.5,1000,500,,,,,
28-Oct-25,2,12 M white plate modular Oplite,2,175,350,,,,,
28-Oct-25,2,8 M White plate modular Oplite,1,140,140,,,,,
28-Oct-25,2,4 M white plate modular Oplite,2,40,80,,,,,
28-Oct-25,2,Cancil light 3 watt Billtech,5,40,200,,,,,
28-Oct-25,2,Button holder circle Anchor,3,25,75,,,,,
28-Oct-25,2,Round switch Local,5,5,25,,,,,
28-Oct-25,2,Fan sheet Local,2,10,20,,,,,
28-Oct-25,2,Switch 10 Amp Oplite,20,22,440,,,,,
28-Oct-25,2,Socket 10 Amp Oplite,5,60,300,,,,,
28-Oct-25,2,Switch 20 Amp Oplite,1,75,75,,,,,
28-Oct-25,2,Socket 20 Amp Oplite,1,175,175,,,,,
28-Oct-25,2,Indicator Oplite,2,40,80,,,,,
28-Oct-25,2,Regulator Oplite,2,180,360,,,,,
28-Oct-25,2,MCB 10 Amp Anchor,4,100,400,,,,,
28-Oct-25,2,MCB 32 Amp Anchor,1,280,280,,,,,
28-Oct-25,2,Steel wire Local,1,80,80,,,,,
28-Oct-25,2,Tape Anchor,5,10,50,,,,,
,,,,,,,,,,
29-Oct-25,1,Bulb LED 9watt Panasonic,1,50,50,,,,,
,,,,,0,,,,,
8-Nov-25,1,7 watt and 9 watt bulb Lister,4,50,200,,,,,
,,40/76 wire Local,22,15,330,,,,,
,,Master holder,4,10,40,,,,,
,,Tape,2,10,20,,,,,
,,Gulli,1,25,25,,,,,
,,Pech,20,1,20,,,,,
,,Clip Nail,1,25,25,,,,,
,,5 M board topson Shine,1,250,250,,,,,
,,6 M board topson Shine,1,250,250,,,,,
,,Battery water Local,1,50,50,,,,,
,,,,,0,,,,,
9-Nov-25,1,5 M board topson Shine,1,120,120,,,,,
,,7 watt and 9 watt bulb Lister,2,50,100,,,,,
,,40/76 wire Local,6,15,90,,,,,
,,Master holder local,1,10,10,,,,,
,,2 pin top local,1,10,10,,,,,
,2,10mm cable Oplite,35,25,875,,,,,
,,10mm cable Oplite,90,23.88,2149.2,,,,,
,,40 Amp Changeover MCB Anchor,1,350,350,,Total,34279.2,,
,,MCB box 2 way Local,1,20,20,,,,,
,3,Flood light 50 watt Panasonic,1,950,950,,,,,
,4,Wire 1.5mm Repro Gold,35,20,700,,,,,
,5,Wire 2.5mm Anchor Penta,2,3045,6090,,,,,
,,Wire 2.5mm RR,1,3045,3045,,,,,
,,Wire 1.5mm Anchor Penta,3,1880,5640,,,,,
,,Wire 1mm Anchor Penta,5,1290,6450,,,,,
,,Tape Anchor,10,10,100,,,,,
,,Steel wire Local,1,80,80,,,,,
,,Ceiling Fan 1200 mm Polar,3,1500,4500,,,,,
,,Ceiling Fan 1200 mm Anchor,2,1500,3000,,,,,
,,,,,0,,,,,
10-Nov-25,1,,,,0,,,,,
,,,,,,,,,,
,,,,,,,,,,
28-Nov-25,1,Fan Heater local,1,1150,1150,,1150,500,,
,,Water heater rod - Air India,2,320,640,,640,240,,
,,Charging bulb billtech,3,300,900,,900,,,
,,deep light 3 watt Billtech,12,65,780,,780,144,,
,,Canceal light panasonic,3,85,255,,255,33,,
,,Tape Anchor,1,10,10,,10,3,,
,,Ketal water heater local,1,550,550,,550,220,,
,2,Reo 2.5mm Havells,1,2950,2950,,2950,65,,
,,Reo 1mm Havells,3,1390,4170,,4170,453,,
,,,,,,Total =,11405,1935,16.97%,
,,,,,,,,,,
29-Nov-25,1,Wire 1mm Repro Gold,2,15,30,,30,15.56,,
,,Bulb LED 12watt Panasonic,1,120,120,,120,40,,
,,Wire 1mm RR,2,1275,2550,,2550,60,,
,,4mm Cable Prakash,20,10,200,,200,90,,
,,3 Pin top 6 Amp Anchor,1,35,35,,35,-15,,
,,40/76 wire Local,6,15,90,10,80,45.2,,
,,screw,20,1,20,,20,,,
,,,,,,Total =,3035,222.56,7.33%,
,,,,,,,,,,
30-Nov-25,1,Canceal light panasonic,13,85,1105,5,1100,138,,
,,Screw + petch + gitti,60,1,60,,60,30,,
,,combined box MCB Star,1,210,210,,210,100,,
,,Combined box Oplite,1,130,130,,130,60,,
,,10mm cable Oplite,45,25,1125,25,1100,230.15,,
,,MCB 16 Amp Anchor,2,120,240,,240,60,,
,,MCB box 2 way Local,1,20,20,,20,11,,
,,Tape Anchor,2,10,20,,20,6,,
,,,,,0,Total =,2880,660,22.92%,
,,,,,,,,,,
1-Dec-25,1,Tape Anchor,1,10,10,,10,3,,
,,Battery water Local,1,30,30,,30,2,,
,,,,,0,Total =,40,5,12.5%,
,,,,,,,,,,
2-Dec-25,1,Wire 2.5mm RR,4,2900,11600,,11600,60,,
,,Wire 1.5mm RR,1,1800,1800,,1800,0,,
,,Wire 1mm RR,5,1280,6400,,6400,175,,
,,Reo 1mm Havells,2,1280,2560,,2560,82,,
,,Wire 0.75mm RR,2,980,1960,,1960,48,,
,,Tape Anchor,5,10,50,,50,15,,
,,Steel wire Local,1,80,80,,80,30,,
,2,Junction Local,24,10,240,,240,96,,
,,12 m metal box scon,7,130,910,,910,,,
,,6 m metal box scon,7,95,665,,665,,,
,,3 m metal box scon,2,55,110,,110,,,
,,Band packet Local,24,10,240,,240,96,,
,,Nail,25,2,50,,50,,,
,,8 M MCB box metal Oplite,1,800,800,50,750,250,,
,,Cutter blade Tapariya,1,135,135,,135,10,,
,,,,,,Total =,27550,1585,5.75%,
,,,,,,,,,,
3-Dec-25,1,Press 600 watt Bajaj,1,500,500,,500,70,,
,,Combined box Oplite,1,110,110,,110,40,,
,,Wire 2.5mm Repro Gold,2,20,40,,40,6.68,,
