Date,Bill number,Bill Month,Bill year,Orignal Selling price,Cash,Mobile,Cashback,Additional Discount,Total Selling price,Amount received,Amount due,Expenditure,Expenditure reason
26-Oct-25,1,Oct,2025,630,600,0,0,30,600,600,0,,
26-Oct-25,2,Oct,2025,147,0,145,15,2,130,145,0,,
26-Oct-25,3,Oct,2025,770,700,0,0,0,770,700,70,,
26-Oct-25,4,Oct,2025,2230,1030,0,0,0,2230,2230,0,,
27-Oct-25,1,Oct,2025,120,120,0,0,0,120,120,0,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
28-Oct-25,1,Oct,2025,4420,4200,0,45,220,4155,4200,0,,
28-Oct-25,2,Oct,2025,9745,9000,0,70,0,9745,9000,745,,
,,,,,,,,,,,,,
29-Oct-25,1,Oct,2025,50,50,0,5,0,45,50,0,,
,,,,,,,,,,,,,
8-Nov-25,1,Nov,2025,1160,1000,0,0,0,1160,1000,160,,
8-Nov-25,1,Nov,2025,50,50,0,5,0,45,50,0,,
9-Nov-25,1,Nov,2025,,,,,,,,,,
10-Nov-25,1,Nov,2025,,,,,,,,,,
11-Nov-25,1,Nov,2025,,,,,,,,,,
12-Nov-25,1,Nov,2025,,,,,,,,,,
13-Nov-25,1,Nov,2025,,,,,,,,,,
14-Nov-25,1,Nov,2025,,,,,,,,,,
15-Nov-25,1,Nov,2025,,,,,,,,,,
16-Nov-25,1,Nov,2025,,,,,,,,,,
17-Nov-25,1,Nov,2025,,,,,,,,,,
18-Nov-25,1,Nov,2025,,,,,,,,,,
19-Nov-25,1,Nov,2025,,,,,,,,,,
20-Nov-25,1,Nov,2025,,,,,,,,,,
21-Nov-25,1,Nov,2025,,,,,,,,,,
22-Nov-25,1,Nov,2025,,,,,,,,,,
23-Nov-25,1,Nov,2025,39580,21530,1250,0,0,39580,,16800,200,
24-Nov-25,1,Nov,2025,7190,2180,3730,0,0,7190,,90,6020,
25-Nov-25,1,Nov,2025,30,30,0,0,0,30,,0,0,
26-Nov-25,1,Nov,2025,9750,150,5000,0,0,9750,,4600,0,
27-Nov-25,1,Nov,2025,100,100,0,0,0,100,,0,200,Petrol
28-Nov-25,1,Nov,2025,11590,9350,2000,0,0,11590,,240,300,
29-Nov-25,1,Nov,2025,3035,2880,155,0,0,3035,,0,500,Petrol
30-Nov-25,1,Nov,2025,2880,2280,600,0,0,2880,,0,,
